               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089031,             0.03731,            0.030692,             0.65006,             0.33876,             0.30508,             0.14431,            0.057668,             0.02058,            0.022445,            0.070323,           0.0032975,           0.0032975
                   1,            0.062868,            0.028603,            0.019982,             0.69678,             0.40978,             0.42323,             0.18731,            0.053529,            0.015162,            0.017404,            0.040279,           0.0065871,           0.0065871
                   2,            0.059243,            0.024333,            0.015634,             0.67653,             0.55922,             0.59608,             0.28966,            0.050976,            0.013724,            0.013361,            0.010191,           0.0098326,           0.0098326
                   3,            0.052657,            0.022113,            0.012389,             0.69129,              0.6966,             0.69457,             0.36949,            0.042514,            0.012759,           0.0088674,            0.009802,            0.009802,            0.009802
                   4,            0.045092,            0.020399,           0.0099885,             0.72043,             0.68653,             0.71136,             0.36577,            0.039811,            0.012945,           0.0079607,            0.009802,            0.009802,            0.009802
                   5,            0.042777,            0.019961,           0.0092852,             0.74096,             0.75609,             0.77883,             0.43683,            0.035286,            0.012421,           0.0067288,            0.009736,            0.009736,            0.009736
                   6,            0.039748,            0.019529,           0.0085521,             0.81492,             0.71138,             0.78949,             0.42886,            0.038581,            0.013226,            0.010626,             0.00967,             0.00967,             0.00967
                   7,            0.038448,            0.019365,           0.0086903,             0.86132,             0.77956,             0.83915,             0.47555,             0.03177,            0.012505,           0.0070063,            0.009604,            0.009604,            0.009604
                   8,             0.03748,             0.01875,           0.0082153,             0.85412,             0.76292,             0.83204,             0.47754,            0.034796,            0.012383,           0.0071274,            0.009538,            0.009538,            0.009538
                   9,            0.036568,            0.019248,           0.0073638,             0.80838,             0.74932,             0.80231,             0.46289,            0.034701,            0.011881,           0.0064755,            0.009472,            0.009472,            0.009472
                  10,            0.034568,            0.018478,           0.0076166,             0.83007,             0.75853,             0.81865,             0.45355,            0.036179,            0.012177,           0.0070078,            0.009406,            0.009406,            0.009406
                  11,            0.035013,            0.018867,           0.0075887,             0.85785,             0.80418,             0.85765,             0.51722,            0.030641,            0.012099,            0.005209,             0.00934,             0.00934,             0.00934
                  12,            0.034108,            0.018127,           0.0066136,             0.88544,             0.80703,               0.862,             0.52346,            0.031525,            0.011494,           0.0053062,            0.009274,            0.009274,            0.009274
                  13,             0.03331,            0.018759,           0.0066313,             0.89345,             0.81428,             0.87287,              0.5067,            0.032375,            0.011139,           0.0061757,            0.009208,            0.009208,            0.009208
                  14,            0.032488,            0.018783,           0.0065166,             0.88254,              0.8374,             0.88428,             0.53583,            0.031116,            0.011531,           0.0051865,            0.009142,            0.009142,            0.009142
                  15,            0.032504,             0.01835,           0.0059439,             0.89799,             0.83135,                0.88,             0.54171,            0.030443,            0.011253,           0.0039431,            0.009076,            0.009076,            0.009076
                  16,            0.031967,             0.01837,           0.0056134,             0.88281,             0.85873,             0.88775,             0.53787,            0.028309,            0.011449,           0.0037738,             0.00901,             0.00901,             0.00901
                  17,            0.031668,            0.017009,           0.0061366,             0.91594,              0.7639,             0.86445,             0.50821,            0.033628,            0.011579,           0.0063727,            0.008944,            0.008944,            0.008944
                  18,            0.031609,            0.018355,           0.0054373,              0.8874,             0.83571,             0.89165,             0.54755,            0.030249,            0.011563,           0.0049682,            0.008878,            0.008878,            0.008878
                  19,            0.031257,            0.017684,           0.0055566,             0.89637,             0.81686,             0.88616,             0.53664,            0.031567,            0.011379,           0.0058062,            0.008812,            0.008812,            0.008812
                  20,            0.030197,            0.018099,           0.0057732,             0.87536,             0.81336,             0.86459,             0.52512,            0.030692,             0.01151,           0.0062829,            0.008746,            0.008746,            0.008746
                  21,            0.030435,            0.017608,            0.005566,             0.88337,             0.84125,             0.88597,             0.54423,             0.02991,            0.011443,            0.003749,             0.00868,             0.00868,             0.00868
                  22,            0.029617,             0.01724,           0.0053826,             0.89612,             0.85316,             0.88082,             0.54948,            0.028546,            0.011353,           0.0044028,            0.008614,            0.008614,            0.008614
                  23,            0.029967,            0.017003,           0.0048445,             0.88889,             0.85929,             0.88459,             0.55946,            0.029167,            0.011529,           0.0036936,            0.008548,            0.008548,            0.008548
                  24,            0.029237,            0.017872,           0.0053102,             0.89482,             0.84109,             0.88528,             0.55664,            0.028706,            0.011038,           0.0039297,            0.008482,            0.008482,            0.008482
                  25,            0.029589,            0.017518,           0.0045799,             0.88954,             0.85905,             0.88857,             0.55939,            0.028056,            0.011105,           0.0037694,            0.008416,            0.008416,            0.008416
                  26,            0.029239,            0.018493,           0.0042598,              0.8875,             0.84615,             0.88557,             0.55023,            0.030683,            0.010932,           0.0053384,             0.00835,             0.00835,             0.00835
                  27,            0.029065,            0.016378,            0.004924,             0.89332,             0.83418,             0.90335,             0.57218,            0.028226,            0.011123,           0.0037646,            0.008284,            0.008284,            0.008284
